INFO 2025-03-27 00:20:32,158 autoreload 19550 8246675520 Watching for file changes with StatReloader
DEBUG 2025-03-27 00:20:32,158 autoreload 19550 8246675520 Waiting for apps ready_event.
DEBUG 2025-03-27 00:20:32,184 autoreload 19550 8246675520 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-27 00:20:32,193 autoreload 19550 8246675520 Watching dir /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-03-27 00:20:32,193 autoreload 19550 8246675520 Watching dir /Users/redha/Downloads/coding /ProjetS4/django_project/locale with glob **/*.mo.
DEBUG 2025-03-27 00:20:32,193 autoreload 19550 8246675520 Watching dir /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-03-27 00:20:32,193 autoreload 19550 8246675520 Watching dir /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2025-03-27 00:20:32,193 autoreload 19550 8246675520 Watching dir /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework_simplejwt/token_blacklist/locale with glob **/*.mo.
DEBUG 2025-03-27 00:20:32,193 autoreload 19550 8246675520 Watching dir /Users/redha/Downloads/coding /ProjetS4/django_project/link_db/locale with glob **/*.mo.
DEBUG 2025-03-27 00:20:32,233 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/backends/mysql/validation.py first seen with mtime 1743033736.8253083
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_random.cpython-312-darwin.so first seen with mtime 1712666329.0
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/wsgiref/simple_server.py first seen with mtime 1712665886.0
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/middleware/csrf.py first seen with mtime 1743033736.8886948
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/backends/base/features.py first seen with mtime 1743033736.8219252
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/views/csrf.py first seen with mtime 1743033736.9162726
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/backends/utils.py first seen with mtime 1743033736.8200336
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/cryptography/utils.py first seen with mtime 1743034320.3469763
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/choices.py first seen with mtime 1743033736.9020972
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/core/checks/registry.py first seen with mtime 1743033736.8014724
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/core/files/images.py first seen with mtime 1743033736.8048158
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/models/signals.py first seen with mtime 1743033736.8378038
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/contrib/admindocs/views.py first seen with mtime 1743033736.121706
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework/utils/encoders.py first seen with mtime 1743033737.8911982
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_scproxy.cpython-312-darwin.so first seen with mtime 1712666329.0
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/cookies.py first seen with mtime 1712665885.0
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/templatetags/__init__.py first seen with mtime 1743033736.897715
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/iterators.py first seen with mtime 1712665885.0
DEBUG 2025-03-27 00:20:32,234 autoreload 19550 8246675520 File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/_meta.py first seen with mtime 1712665886.0
